,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,19963466653.675648,0.0,4065480000.0,-3185730000.0,
Tax Rate For Calcs,0.223705,0.237981,0.2455,0.2185,
Normalized EBITDA,1989870000000.0,1834220000000.0,1752880000000.0,1547650000000.0,
Total Unusual Items,89240000000.0,14030000000.0,16560000000.0,-14580000000.0,
Total Unusual Items Excluding Goodwill,89240000000.0,14030000000.0,16560000000.0,-14580000000.0,
Net Income From Continuing Operation Net Minority Interest,807750000000.0,696480000000.0,696210000000.0,662840000000.0,
Reconciled Depreciation,576880000000.0,531360000000.0,508320000000.0,403030000000.0,
Reconciled Cost Of Revenue,7463510000000.0,6828250000000.0,6745990000000.0,6718980000000.0,
EBITDA,2079110000000.0,1834220000000.0,1769440000000.0,1533070000000.0,
EBIT,1502230000000.0,1302860000000.0,1261120000000.0,1130040000000.0,
Net Interest Income,-270610000000.0,-242690000000.0,-111900000000.0,-78420000000.0,
Interest Expense,270610000000.0,242690000000.0,217720000000.0,189580000000.0,
Interest Income,,124100000000.0,107450000000.0,112400000000.0,125290000000.0
Normalized Income,738473466653.6757,696480000000.0,683715480000.0,674234270000.0,
Net Income From Continuing And Discontinued Operation,807750000000.0,696480000000.0,696210000000.0,667020000000.0,
Total Expenses,9359580000000.0,8523850000000.0,7893980000000.0,7758200000000.0,
Rent Expense Supplemental,,27790000000.0,7150000000.0,8440000000.0,6260000000.0
Diluted Average Shares,,13531766077.0,13532481373.0,13532311532.0,13532311532.0
Basic Average Shares,,13531766077.0,13531621632.0,13531101934.0,13531101934.0
Diluted EPS,,51.47,51.45,49.295,45.43
Basic EPS,,51.47,51.45,49.295,46.0
Diluted NI Availto Com Stockholders,807750000000.0,696480000000.0,696210000000.0,667020000000.0,
Net Income Common Stockholders,807750000000.0,696480000000.0,696210000000.0,667020000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,807750000000.0,696480000000.0,696210000000.0,667020000000.0,
Minority Interests,-149790000000.0,-116610000000.0,-93990000000.0,-73860000000.0,
Net Income Including Noncontrolling Interests,957540000000.0,813090000000.0,790200000000.0,740880000000.0,
Net Income Discontinuous Operations,,,0.0,4180000000.0,16610000000.0
Net Income Continuous Operations,957540000000.0,813090000000.0,790200000000.0,736700000000.0,
Tax Provision,275520000000.0,252300000000.0,257070000000.0,203760000000.0,
Pretax Income,1231620000000.0,1060170000000.0,1043400000000.0,940460000000.0,
Other Non Operating Income Expenses,200380000000.0,179780000000.0,33020000000.0,17580000000.0,
Special Income Charges,,-1540000000.0,-2650000000.0,-1560000000.0,27370000000.0
Other Special Charges,,1540000000.0,2650000000.0,1560000000.0,-27370000000.0
Write Off,,,,,0.0
Net Non Operating Interest Income Expense,-270610000000.0,-242690000000.0,-111900000000.0,-78420000000.0,
Total Other Finance Cost,,2900000000.0,1630000000.0,1240000000.0,170000000.0
Interest Expense Non Operating,270610000000.0,242690000000.0,217720000000.0,189580000000.0,
Interest Income Non Operating,,124100000000.0,107450000000.0,112400000000.0,125290000000.0
Operating Income,1212610000000.0,1123080000000.0,1116660000000.0,1020150000000.0,
Operating Expense,1896070000000.0,1695600000000.0,1147990000000.0,1039220000000.0,
Other Operating Expenses,1592890000000.0,1410010000000.0,530450000000.0,477350000000.0,
Selling General And Administration,,380260000000.0,371420000000.0,316730000000.0,248250000000.0
Selling And Marketing Expense,,216010000000.0,209890000000.0,197360000000.0,159420000000.0
General And Administrative Expense,,164250000000.0,161530000000.0,119370000000.0,88830000000.0
Rent And Landing Fees,,26230000000.0,6010000000.0,7290000000.0,5780000000.0
Gross Profit,3108680000000.0,2818680000000.0,2264650000000.0,2059370000000.0,
Cost Of Revenue,7463510000000.0,6828250000000.0,6745990000000.0,6718980000000.0,
Total Revenue,10572190000000.0,9646930000000.0,9010640000000.0,8778350000000.0,
Operating Revenue,10572190000000.0,9646930000000.0,9010640000000.0,8778350000000.0,
